file;name;input;runtime;input;output
Epigenomics_9970_00.xml;mapMerge_chr21;21557887.000000;11.490000;21557887.000000;20337629.000000
Epigenomics_9970_00.xml;mapMerge_chr21;38352136.000000;14.920000;38352136.000000;36181260.000000
Epigenomics_9970_00.xml;mapMerge_chr21;40753644.000000;21.920000;40753644.000000;38446833.000000
Epigenomics_9970_00.xml;mapMerge_chr21;35928583.000000;13.490000;35928583.000000;33894889.000000
Epigenomics_9970_00.xml;mapMerge_chr21;30736812.000000;18.280000;30736812.000000;28996992.000000
Epigenomics_9970_00.xml;mapMerge_chr21;37955006.000000;16.750000;37955006.000000;35806609.000000
Epigenomics_9970_00.xml;mapMerge_chr21;34608825.000000;13.920000;34608825.000000;32649834.000000
Epigenomics_9970_00.xml;mapMerge_chr21;37206013.000000;17.510000;37206013.000000;35100012.000000
Epigenomics_9970_00.xml;mapMerge_chr21;23724759.000000;8.440000;23724759.000000;22381848.000000
Epigenomics_9970_00.xml;mapMerge_chr21;24225455.000000;11.200000;24225455.000000;22854202.000000
Epigenomics_9970_00.xml;mapMerge_chr21;24392281.000000;8.530000;24392281.000000;23011585.000000
Epigenomics_9970_00.xml;mapMerge_chr21;29980534.000000;11.100000;29980534.000000;28283522.000000
Epigenomics_9970_00.xml;mapMerge_chr21;17399572.000000;6.500000;17399572.000000;16414690.000000
Epigenomics_9970_00.xml;mapMerge_chr21;49042559.000000;24.460000;49042559.000000;46266565.000000
Epigenomics_9970_00.xml;mapMerge_chr21;33525633.000000;14.910000;33525633.000000;31627955.000000
Epigenomics_9970_00.xml;mapMerge_chr21;31502730.000000;16.000000;31502730.000000;29719556.000000
Epigenomics_9970_00.xml;mapMerge_chr21;27579847.000000;16.030000;27579847.000000;26018723.000000
Epigenomics_9970_00.xml;mapMerge_chr21;26924991.000000;12.620000;26924991.000000;25400934.000000
Epigenomics_9970_00.xml;mapMerge_chr21;17134434.000000;5.710000;17134434.000000;16164560.000000
Epigenomics_9970_00.xml;mapMerge_chr21;39571589.000000;16.790000;39571589.000000;37331687.000000
Epigenomics_9970_00.xml;mapMerge_chr21;34907801.000000;15.930000;34907801.000000;32931887.000000
Epigenomics_9970_00.xml;mapMerge_chr21;21571088.000000;8.310000;21571088.000000;20350083.000000
Epigenomics_9970_00.xml;mapMerge_chr21;33510070.000000;13.120000;33510070.000000;31613273.000000
Epigenomics_9970_00.xml;mapMerge_chr21;52313588.000000;23.640000;52313588.000000;49352441.000000
Epigenomics_9970_00.xml;mapMerge_chr21;25714743.000000;12.110000;25714743.000000;24259191.000000
